Dataset,Metric name,Estimated optimal k,Actual K,n_samples,n_features
Heart Failure,VRC,2,2,299,12
Heart Failure,BIC,9,2,299,12
Heart Failure,DB,275,2,299,12
Heart Failure,SSE-Elbow,20,2,299,12
Heart Failure,Silhouette,2,2,299,12
Apartments for Rent,VRC,2,5,9950,10
Apartments for Rent,BIC,65,5,9950,10
Apartments for Rent,DB,1000,5,9950,10
Apartments for Rent,SSE-Elbow,10,5,9950,10
Apartments for Rent,Silhouette,875,5,9950,10
TV News Channel Commercial Detection Dataset,VRC,2,5,129685,10
TV News Channel Commercial Detection Dataset,BIC,750,5,129685,10
TV News Channel Commercial Detection Dataset,DB,5,5,129685,10
TV News Channel Commercial Detection Dataset,SSE-Elbow,20,5,129685,10
TV News Channel Commercial Detection Dataset,Silhouette,2,5,129685,10
